Latitude,Longitude,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
-109.0,0.0,17204776.51973101,14172336.781130819,22761946.34513414,14033384.845334932,25401910.98757286,26127049.824691273,37787553.19450828,47581783.54830263,82215766.29508564,41803310.80148633,46201029.593516596,52468328.32510377,45608343.68300784,77710212.67606583,89230021.99048893,185620934.59216702,91681582.27918433,73739324.6053351,61944568.965747856,70408570.40582745,51921578.62625234,751775037.2514123,175479687.67724565,257522115.5703519,102871278.10483465,78612448.89589347,67087557.525883526,70050802.57880837,91259371.7475318,74146814.8409228,81158120.95576213,50784941.64391366,60125934.65515543,40588425.36835907,238000652.77665353,26993391.668918435,30072472.480846975,30808973.6922831,33014907.521211457,36780492.87417979,29090671.456352767,31610453.17207677,30845903.370179493,31593983.982412625,31412859.83237373,31760843.220615767,31455929.90479825,37555864.38086808,42680113.98288485,36768033.64465035,28452420.093170427,28011823.903902072,23822796.79155065
-109.0,-9.199999999999477,17223954.422600795,14138696.376527881,22735631.489197854,14004750.34375234,25385184.22342012,26074166.651248958,37747578.89862168,47529533.08044339,82093780.26124349,41746850.09555506,46126869.861394756,52380308.54597442,45334289.05801007,77418641.72817887,88899017.53423007,177933357.43225956,89174723.34511608,71996405.29920779,60796468.465003364,69917882.75679906,51638271.22781277,750675014.506371,175788290.74146765,257419836.34091714,102429905.59940639,78223042.2400019,66874478.24548477,69858128.10986808,90905324.56718776,73855215.72740664,80899406.69061834,50656352.31039656,60044552.1328861,40520780.70150077,41642782.60261687,26929440.11597904,29930145.147654563,30692777.679221805,32824310.043791056,36661874.054671355,29010002.840431917,31453176.57433654,30813958.646320775,31690224.577488545,31326267.053817082,31679448.38523034,31376437.773630735,37467795.505638234,42621892.59484483,36698065.0843525,28409531.124751896,27938210.438934445,23644079.04913278
-109.0,-18.40000000000026,17242823.863094583,14119556.250199111,22719105.273963474,13979786.916741548,25408202.010472767,26031540.00541406,37711314.43329886,47483905.76287846,82014956.15986602,41706530.96338776,46088557.87883682,52311454.354438126,45194450.14411932,77212280.15419038,88699861.42926402,174372787.69876888,87949841.20746633,71270849.22248447,60257331.856592,69641933.89922634,51492849.14860215,749699563.8024582,175127581.0273414,257386611.7980257,102270199.6672973,77995390.17183,66863198.51803225,69728745.97044213,90699528.5255862,73690400.13353586,80752535.68682706,50586412.80956871,59978076.50007868,40467815.13225556,41549343.408604816,26885188.833220534,29851669.82286205,30599382.153433833,32543352.397404674,36582322.22032277,28947122.058703467,31375093.02235038,30759457.3836344,31499641.417547684,31261494.435385227,31618196.625026666,31308521.039981823,37395427.52858423,42758461.34470832,36639101.236863546,28377045.184640262,27872753.683790777,23593944.907392297
-109.0,-27.59999999999974,17256128.918771606,14103028.449417353,22702901.482554864,13959420.36987863,25320330.268424094,25996993.07316417,37668110.26967576,47441407.05330906,81947645.15703161,41679556.75859137,46048444.27462655,52185851.29753626,45094994.7685421,77031095.24471578,88594089.7161995,172249365.2876868,87199259.02795927,70830742.03464429,59921901.873012364,69441733.56909592,51397587.69444037,748898952.6919641,174968576.3436232,257375375.9752396,102144187.44516784,77744063.33799922,66668244.92937905,69640546.43289216,90551778.42124878,73560087.89252532,80622416.74227028,50640785.283361316,59918958.877632655,40421358.24200651,41493693.993513756,26843972.16933182,29790098.829796273,30551281.199114934,32485839.174497616,36516876.109331205,28910713.001663942,31320591.62582624,30617415.430237725,31449197.88007149,31209089.956555244,31566035.989481434,31246036.948005788,37331585.623822555,42566685.814192474,36585533.224128634,28354524.728528604,27838094.837454088,23568282.34544101
-109.0,-36.80000000000052,17252385.43582677,14086867.27962752,22686352.39524634,13943670.835477076,25247037.120625846,25962393.876998696,37617916.54989098,47400344.91029835,81878174.8772881,41661570.74005414,46008743.38191582,52116750.13058803,45013875.67573537,76872192.8234371,88563781.60823615,170782420.28373063,86680348.76852432,70510084.35954967,59730079.14852347,69275256.10724314,51286686.280175775,748195065.8122762,174881428.73992005,257246967.27804872,102018685.99785173,77614837.82534502,66549559.325071424,69584215.39765856,91315000.85989821,73440373.84567168,80487273.90002152,50500855.950588055,59869595.36962814,40376999.57718696,41443030.16263123,26795451.587135535,29734466.639246967,30496880.385883562,32396839.039811715,36458103.76843599,28882415.176976353,31282287.389908683,30547786.97947424,31403560.814195253,31163549.263227172,31519215.97946069,31201597.746366028,37274926.53844217,42576172.44473792,36535444.27446497,28342006.146951668,27838168.340129312,23546895.617600657
-109.0,-46.0,17233510.178039704,14070415.64787998,22673306.184007734,13930153.683757463,25195883.46306619,25916386.741749667,37570406.57813016,47358600.53951684,81803277.25426628,41577011.94340583,45986243.26319001,52060735.67463863,44943125.94106531,76731050.23762278,88358874.83430116,169711994.3377633,86692170.1545452,70255407.5221426,59539114.49648425,69132781.34933482,51173575.93525704,747384764.4641243,174687736.13011742,257133883.93517858,101867106.45552276,77494272.69360465,66417282.41125669,69471690.48358718,90276851.34577744,73334770.2618521,80354927.38898465,50391346.79569919,59824354.327696785,40332827.5611305,41388621.75506775,26749895.147209838,29682241.74710665,30438587.20482472,32277761.615454655,36403218.79847503,28851579.57529199,31332276.071830954,30490178.51381771,31380953.278923478,31116563.490468524,31475954.397949353,31169005.31615958,37196372.59546315,42559308.403356105,36487960.1162956,28325950.43524818,27790031.550195303,23524111.367430057
-109.0,-55.19999999999948,17210214.762769297,14053466.308106786,22657077.086731058,13914452.345188083,25175936.9813386,25870694.320323784,37526684.288433775,47314484.6656257,81727636.64139162,41504253.3892717,45967756.90942807,52008961.94998938,44879054.99143849,76603933.34161693,88226771.0518536,168890367.11172682,85955734.87438168,70047401.81947346,59256645.45666286,68994510.78052597,51080140.78185187,746720933.5724971,174463480.20169514,256999032.66962036,101734432.62399411,77384424.2801324,66293873.68503241,69343525.2754568,90142969.69169332,73250886.83128494,80234353.6230423,50327026.39414945,59753333.7578944,40289154.22932532,41336372.644238904,26710717.237959694,29633801.123227924,30393319.680832613,32207229.823686454,36351012.79436058,28762643.75747741,31631755.2022356,30438279.006361928,31357404.59231776,31066390.72749041,31435257.388009932,31132385.38069587,37107598.825754024,42419995.27814901,36442618.720285706,28349191.317066357,27738248.09231712,23504153.432157766
-109.0,-64.40000000000026,17186364.228595454,14035995.22731648,22617662.01612422,13896243.96340241,26160586.295841906,25829279.2706932,37473008.971830025,47271196.841699556,81653811.3313442,41446384.74210431,45942549.91230859,51958746.285639234,44819644.762720145,76488885.92858578,88024260.91227894,168233476.98542255,85676237.89768554,69873959.0531422,64179126.86213726,68862599.56023775,51000945.21473959,746053106.6405245,175367022.5002679,256842757.38015637,101633396.85200478,77293286.37582175,66182307.64489985,69243751.65974478,90018274.11862287,73181298.26554102,80126109.71321248,50270419.84949704,59690691.19483698,40246430.88082555,41287214.47716396,26674202.173698988,29589103.949470464,30359461.813682605,32148670.131874837,36300853.54235397,28705651.584377587,31138330.51250247,30390218.597554944,31281407.629432697,31019748.23892472,31396496.25610027,31103666.782539327,37035812.92608824,42289034.06772494,36399153.60201623,28238999.155804183,27685621.84962203,23499846.000832736
-109.0,-73.59999999999974,17162245.243693832,14018072.327862378,22586184.92633394,13880982.036935898,25083715.79478388,25791248.97495964,37423149.13231799,47230814.11134229,81581486.82234082,41399407.52037598,45916228.88576162,51907652.650806725,44763620.09231839,76383341.97145703,87860463.8842112,251730017.884386,85529179.60182445,69722153.57332125,58941450.49389858,68739520.510549,50933025.28561128,71563616512.1197,186908754.55495292,256665310.31942737,101568735.34745903,77209181.75943966,66081943.6805243,69147157.52998625,89900597.61649267,73090516.789006,80026737.66218442,50217244.48093979,59649288.527261436,40204577.67002791,41239824.08410034,26637247.005420487,29547439.376788396,30349996.793466453,32097675.74097191,36252413.73326389,28659980.849617545,31077974.97724876,30345071.86968397,31188908.57493198,30976801.71205594,31359162.061590686,31088671.1072907,37030578.744503535,42187336.76889457,36357378.18612409,28173291.75968911,27614673.194635887,23786723.398724724
-109.0,-82.80000000000052,17137543.51339934,13999817.698470378,22559299.49213879,13880597.702490177,25032300.039200734,25755935.135388013,37376567.85897806,47193110.13709904,81510062.47684938,41364379.507950135,45886654.21701904,51852448.14396924,44710073.83918695,76285543.87705633,87728886.7139066,167160176.9840203,85293483.5823974,69577559.84211327,58799989.19156115,68624370.97246253,50846963.626756504,744539478.2302346,173964806.55099955,256467375.36898282,101427997.95866838,77126360.96939118,65992301.95162988,69055748.79445177,89795204.8506503,72940031.07824549,79933029.22890615,50166228.103705816,59751794.339385755,40163432.56630385,41193794.47318916,26601293.919967204,29508090.327285152,30471918.50496692,32053334.506512884,36205680.70018954,28619220.89804883,31028480.45036172,30302359.96335313,31120976.82769774,30936434.44506324,31322811.602115076,32134694.068157993,36976696.25503814,42106531.643606596,36317129.1127036,28125250.826040287,27570556.624878872,23582006.548104037
