time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1959-08-23T16:01:55.880Z,33.9591667,-117.8265,8.48,3.9,ml,10,102,,0.46,ci,ci3297184,2016-01-28T18:11:04.960Z,"7km WSW of Chino Hills, CA",earthquake,1.2,1.66,0.207,10,reviewed,ci,ci
1959-08-20T22:55:04.870Z,34.9551667,-116.7365,6,2.83,ml,7,182,1.095,0.63,ci,ci3297182,2016-01-28T18:15:46.730Z,"27km ENE of Barstow, CA",earthquake,1.81,31.61,0.142,7,reviewed,ci,ci
1959-08-14T03:15:16.400Z,33.8313333,-117.7265,5.39,2.61,ml,8,169,0.3338,0.37,ci,ci3297174,2016-01-28T18:24:49.380Z,"8km ENE of Villa Park, CA",earthquake,1.21,2.32,0.116,5,reviewed,ci,ci
1959-08-11T21:25:35.010Z,33.0218333,-117.976,0.01,2.66,ml,7,175,,0.46,ci,ci3297170,2016-01-28T18:11:03.970Z,"41km ENE of San Clemente Is. (SE tip), CA",earthquake,2.1,31.61,0.041,6,reviewed,ci,ci
1959-08-10T23:09:54.620Z,32.9656667,-117.791,0.01,2.67,ml,6,240,0.8695,0.5,ci,ci3297169,2016-01-28T18:11:03.480Z,"46km WSW of Carlsbad, CA",earthquake,2.59,31.61,0.058,5,reviewed,ci,ci
1959-08-06T03:02:21.940Z,33.9733333,-117.813,2.45,2.27,ml,6,158,0.3221,0.39,ci,ci3297163,2016-01-28T18:29:29.470Z,"6km WSW of Chino Hills, CA",earthquake,1.45,2.2,0.222,4,reviewed,ci,ci
1959-08-05T03:30:58.650Z,33.9911667,-117.8115,7.73,2.3,ml,7,155,0.3094,0.39,ci,ci3297162,2016-01-28T18:06:22.350Z,"4km S of Diamond Bar, CA",earthquake,1.27,1.08,0.267,4,reviewed,ci,ci
1959-08-04T14:05:41.790Z,34.2508333,-117.5323333,4.82,2.75,ml,7,154,0.2878,0.31,ci,ci3297157,2016-01-28T17:57:15.610Z,"3km WSW of Lytle Creek, CA",earthquake,0.92,2.06,0.147,4,reviewed,ci,ci
1959-08-03T18:36:57.050Z,33.9773333,-117.8123333,5.71,2.7,ml,7,157,0.3194,0.47,ci,ci3297153,2016-01-28T18:15:44.640Z,"5km WSW of Chino Hills, CA",earthquake,1.58,1.8,0.236,9,reviewed,ci,ci
1959-08-03T18:26:49.740Z,33.9783333,-117.795,0.08,2.36,ml,6,156,0.3489,0.45,ci,ci3297152,2016-01-28T18:20:16.310Z,"4km WSW of Chino Hills, CA",earthquake,1.12,1.31,0.246,5,reviewed,ci,ci
